Key,English,Russian
LanguageTag,en,ru
IsRightToLeft,,
AbbreviationCode3,ENU,RUS
unlock_animal_title,NEW ANIMAL UNLOCKED,НОВЫЙ ЗВЕРЁК ДОСТУПЕН
animal_fisherman_name,Cool Cat,Кот уровня 
animal_farmer_name,Cool Rabbit,Кролик уровня 
animal_woodcutter_name,Cool Brown Beaver,Бобр уровня 
animal_stats_basepower,Base Power,Сила Добычи
ui_animal_confirm,CONFIRM,ОТЛИЧНО
tokenTypeGold,Gold,
tokenTypeGem,Gem,
rewardWindowTitle,Rewards,
rewardWindowSubtitle,Your summary,
rewardWindowChestTitle,IRON CHEST,
rewardWindowChestSubtitle,Open your,
rewardWindowOpenChest,TAP TO OPEN,
cardsWindowTitle,CARDS,
cardsWindowSubtitle,All cards provide permanent boosts,
cardsWindowFound,FOUND,
cardsWindowNotFound,NOT FOUND,
cardWindowDescription,Card description must be here,
cardWindowLevelUp,IMPROVE NOW,
cardWindowLevel,Level {0},
cardWindowMaxLevel,MAX LEVEL,
cardWindowFind,FIND IN CHEST,
cardWindowShop,VISIT SHOP <br>(coming soon),
cardNotEnoughResourcesWindowTitle,NOT ENOUGH RESOURCES,
cardNotEnoughResourcesWindowSpin,GO TO SPIN,
cardNotEnoughResourcesWindowDescription,Try your luck at Fortune's Wheel,
cardTypeBasic,Basic,
cardTypeSpecial,Special,
cardTypeRare,Rare,
cardTypeLegendary,Legendary,
cardModifierTypeProfit,Profit,
cardModifierTypeChance,Chance,
cardModifierTypeSpeed,Speed,
cardIdleFishHutDoubleReward,Increase chance to get a double reward from fishing hut,
cardIdleQuarryDoubleReward,Increase chance to get a double reward from quarry,
cardIdleFarmDoubleReward,Increase chance to get a double reward from farm,
cardIdleSawmillDoubleReward,Increase chance to get a double reward from sawmill,
cardIdleFishHutEarnings,Increase earnings from fishing hut,
cardIdleQuarryEarnings,Increase earnings from quarry,
cardIdleFarmEarnings,Increase earnings from farm,
cardIdleSawmillEarnings,Increase earnings from sawmill,
cardIdleFishHutSpeed,Increase gathering speed of fishing hut,
cardIdleQuarrySpeed,Increase gathering speed of quarry,
cardIdleFarmSpeed,Increase gathering speed of farm,
cardIdleSawmillSpeed,Increase gathering speed of sawmill,
cardIdleAllEarnings,Increase earnings from the all idle buildings,
cardCatPower,Increase power of cats,
cardMolePower,Increase power of moles,
cardRabbitPower,Increase power of rabbits,
cardBeaverPower,Increase power of beaver,
cardCatCriticalChance,Increase critical hit chance of cats,
cardMoleCriticalChance,Increase critical hit chance of moles,
cardRabbitCriticalChance,Increase critical hit chance of rabbits,
cardBeaverCriticalChance,Increase critical hit chance of beaver,
cardAllAnimalsPower,Increase power of all animals,
cardPassiveBuildingHouse,Increase earnings from residental house,
cardPassiveBuildingFishStorage,Increase earnings from fish storage,
cardPassiveBuildingStoneStorage,Increase earnings from stone storage,
cardPassiveBuildingCarrotStorage,Increase earnings from carrot storage,
cardPassiveBuildingWoodStorage,Increase earnings from wood storage,
cardPassiveBuildingWell,Increase earnings from well,
cardResourcePointPondReward,Increase reward from ponds,
cardResourcePointStoneReward,Increase reward from stones,
cardResourcePointTreeReward,Increase reward from trees,
cardResourcePointGardenBedReward,Increase reward from garden beds,
cardAllResourcePointReward,Increase reward from all types of resource points,
cardResourcePointPondChestChance,Increase chance to get a chest from ponds,
cardResourcePointStoneChestChance,Increase chance to get a chest from stones,
cardResourcePointTreeChestChance,Increase chance to get a chest from trees,
cardResourcePointGardenBedChestChance,Increase chance to get a chest from garden beds,
cardWorkerPowerFullName,INCREASE POWER,
cardWorkerPowerShortName,Power,
cardWorkerPowerDescription,Give the power to all beasts,
cardWorkerDoublePowerChanceFullName,CRITICAL POWER CHANCE,
cardWorkerDoublePowerChanceShortName,Power,
cardBuildingSpeedFullName,MINING SPEED,
cardBuildingSpeedShortName,Speed,
cardBuildingRewardFullName,INCREASED REWARD,
cardBuildingRewardShortName,Reward,
cardBuildingDoubleRewardChanceFullName,DOUBLE REWARD CHANCE,
cardBuildingDoubleRewardChanceShortName,Chance,
cardBuildingGemRewardChanceFullName,GEM REWARD CHANCE,
cardBuildingGemRewardChanceShortName,Reward,
cardBuildingChestRewardChanceFullName,CHEST REWARD CHANCE,
cardBuildingChestRewardChanceShortName,Chance,
cardBuildingIdleFullName,IDLE BUILDING,
cardBuildingIdleShortName,Building,
cardBuildingIdleSlot,Additional slot,
cardBuildingPassiveFullName,PASSIVE BUILDING,
cardBuildingPassiveShortName,Building,
cardBuildingPassiveNew,New building,
hint0,Welcome,Привет!
hint1,Beastville is a peaceful place,Биствилль классное место!
hint2,<color=orange>Open the gift </color> to see who is there!,"<color=orange>Открой подарок </color> , чтобы увидеть кто там!"
hint3,See the pond below? \n\n<color=orange>Drag the cat</color> over there to start fishing,
hint4,Now wait a bit while cat catches all fish from pond...,
hint5,<color=orange>Tap</color> to collect reward,
hint6,Let's <color=orange>buy another cat</color>!\n\nP.S. you can get more species of animals later,
hint7,Merge animals of the same level to get a stronger one\n\n<color=orange>Drag one cat to another</color>,
hint8,Keep it up,
hint9,Let's build <color=orange>Fishing hut</color> for cats. \n\n<color=orange>Click on the 'Build' sign</color>,
hint10,Unlike small ponds,
hint11,But it gives you a smaller reward,
hint12,<color=orange>Place a cat</color> to fish in big pond,
hint13,You can place only <color=orange>1</color> cat in the fishing hut for now,
hint14,<color=orange>Collect the reward</color>\n\nСat can't fish again until you do it,
hint15,Now you know almost all about growing <color=orange>Beastville</color>!\n\nKeep it up!,
hint16,You've got your first upgrade cards,
hint17,<color=orange>Press this button</color> to look at them,
